Time [s],Packet,Type,ID,DLC,Data,CRC,ACK
0.0120963000,0,Data,0x212,0x8,0x52 0x01 0x08 0xC9 0x00 0x00 0x00 0x2A,0x18B7,ACK
0.0123605000,1,Data,0x211,0x8,0xE4 0x00 0x2A 0x00 0x00 0x00 0x00 0x00,0x0D4D,ACK
0.0126168000,2,Data,0x343,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x33F5,ACK
0.0128770000,3,Data,0x401,0x8,0x00 0x00 0x35 0x00 0x05 0x2A 0x00 0x00,0x502D,ACK
0.0186711000,4,Data,0x100,0x8,0x00 0x00 0x00 0x40 0x0F 0x4F 0x23 0x32,0x4E99,ACK
0.0386611000,5,Data,0x100,0x8,0x00 0x00 0x00 0x40 0x0F 0x4F 0x23 0x32,0x4E99,ACK
0.0586970000,6,Data,0x100,0x8,0x00 0x00 0x00 0x40 0x0F 0x4F 0x23 0x32,0x4E99,ACK
0.0589432000,7,Data,0x203,0x8,0x01 0x00 0x57 0x00 0x57 0x00 0x00 0x00,0x25CC,ACK
0.0591894000,8,Data,0x204,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x79D1,ACK
0.0594457000,9,Data,0x205,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x72CA,ACK
0.0597519000,10,Data,0x209,0x8,0x9F 0x27 0x10 0x04 0x90 0x49 0x00 0x00,0x59C2,ACK
0.0599921000,11,Data,0x20A,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x1B53,ACK
0.0602484000,12,Data,0x20B,0x8,0xBC 0x02 0x64 0x00 0x01 0xC8 0x00 0x00,0x021C,ACK
0.0604926000,13,Data,0x20C,0x8,0x00 0x82 0x1E 0x34 0x1E 0x07 0x00 0x00,0x13E6,ACK
0.0607429000,14,Data,0x301,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x7E55,ACK
0.0609991000,15,Data,0x302,0x2,0x00 0xFF,0x6FC0,ACK
0.0611434000,16,Data,0x485,0x8,0x22 0x00 0x00 0x00 0x62 0x00 0x14 0x0C,0x569F,ACK
0.0786714000,17,Data,0x100,0x8,0x00 0x00 0x00 0x40 0x0F 0x4F 0x23 0x32,0x4E99,ACK
0.0986712000,18,Data,0x100,0x8,0x00 0x00 0x00 0x40 0x0F 0x4F 0x23 0x32,0x4E99,ACK
0.1046254000,19,Data,0x310,0x8,0xF1 0x0E 0x78 0x05 0x12 0x02 0x01 0xC8,0x2684,ACK
0.1053516000,20,Data,0x311,0x8,0x39 0x1E 0x07 0x3F 0x90 0x01 0x00 0x00,0x66BC,ACK
0.1121037000,21,Data,0x212,0x8,0x52 0x01 0x08 0xC9 0x00 0x00 0x00 0x2A,0x18B7,ACK
0.1123618000,22,Data,0x211,0x8,0xE4 0x00 0x2A 0x00 0x00 0x00 0x00 0x00,0x0D4D,ACK
0.1126439000,23,Data,0x343,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x33F5,ACK
0.1129041000,24,Data,0x341,0x8,0x00 0x00 0x00 0x00 0x02 0x00 0x00 0x00,0x1833,ACK
0.1131962000,25,Data,0x342,0x8,0x0F 0x00 0x23 0x00 0x00 0x82 0x0F 0x34,0x2C17,ACK
0.1134583000,26,Data,0x344,0x8,0x00 0x00 0x00 0x03 0x00 0x00 0x00 0x00,0x6F15,ACK
0.1186703000,27,Data,0x100,0x8,0x00 0x00 0x00 0x40 0x0F 0x4F 0x23 0x32,0x4E99,ACK
0.1386701000,28,Data,0x100,0x8,0x00 0x00 0x00 0x40 0x0F 0x4F 0x23 0x32,0x4E99,ACK
0.1586900000,29,Data,0x100,0x8,0x00 0x00 0x00 0x40 0x0F 0x4F 0x23 0x32,0x4E99,ACK
0.1589381000,30,Data,0x203,0x8,0x01 0x00 0x57 0x00 0x57 0x00 0x00 0x00,0x25CC,ACK
0.1591862000,31,Data,0x204,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x79D1,ACK
0.1594423000,32,Data,0x205,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x72CA,ACK
0.1597505000,33,Data,0x209,0x8,0x9F 0x27 0x10 0x04 0x90 0x49 0x00 0x00,0x59C2,ACK
0.1599906000,34,Data,0x20A,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x1B53,ACK
0.1602447000,35,Data,0x20B,0x8,0xBC 0x02 0x64 0x00 0x01 0xC8 0x00 0x00,0x021C,ACK
0.1604888000,36,Data,0x20C,0x8,0x00 0x82 0x1E 0x34 0x1E 0x07 0x00 0x00,0x13E6,ACK
0.1786587000,37,Data,0x100,0x8,0x00 0x00 0x00 0x40 0x0F 0x4F 0x23 0x32,0x4E99,ACK
0.1986585000,38,Data,0x100,0x8,0x00 0x00 0x00 0x40 0x0F 0x4F 0x23 0x32,0x4E99,ACK
